aah	ɑ
aardvark	ɑdvɑk
aardvarks	ɑdvɑks
aardwolf	ɑdwʊlf
aba	ɐbæ
abaca	æbækɐ
aback	ɐbæk
abacus	æbækəs
abacuses	æbɐkəsɪz
abalone	ɐbæləʊn
abandon	ɐbændən
abandoned	ɐbændənd
abandoning	ɐbændənɪŋ
abandonment	ɐbændənmənt
abandons	ɐbændənz
abas	ɐbæz
abase	ɐbeɪs
abasement	ɐbeɪsmənt
abashed	ɐbæʃt
abate	ɐbeɪt
abated	ɐbeɪtɪd
abatement	ɐbeɪtmənt
abates	ɐbeɪts
abating	ɐbeɪtɪŋ
abattoir	æbɐtwɑ
abattoirs	æbɐtwɑz
abba	æbɐ
abb	æb
abbess	æbɛs
abbesses	æbɛsɪz
abbey	æbi
abbeys	æbiz
abbot	æbət
abbots	æbəts
abbreviate	ɐbɹivɪeɪt
abbreviated	ɐbɹivɪeɪtɪd
abbreviates	ɐbɹivɪeɪts
abbreviating	ɐbɹivɪeɪtɪŋ
abbreviation	ɐbɹivɪeɪʃən
abbreviations	ɐbɹivɪeɪʃənz
abdicate	æbdɪkeɪt
abdicated	æbdɪkeɪtɪd
abdicates	æbdɪkeɪts
abdicating	æbdɪkeɪtɪŋ
abdication	æbdɪkeɪʃən
abdomen	æbdəmən
abdomens	æbdəmənz
abdominal	æbdɒmɪnəl
abduct	ɐbdʌkt
abducted	ɐbdʌktɪd
abducting	ɐbdʌktɪŋ
abduction	ɐbdʌkʃən
abductions	ɐbdʌkʃənz
abductor	ɐbdʌktɐ
abductors	ɐbdʌktəz
abducts	ɐbdʌkts
abeam	ɐbim
abed	ɐbɛd
aberrant	ɐbɛɹənt
aberration	æbəɹeɪʃən
aberrations	æbəɹeɪʃənz
abet	ɐbɛt
abetted	ɐbɛtɪd
abetting	ɐbɛtɪŋ
abeyance	ɐbeɪəns
abhor	ɐbhɔ
abhorred	ɐbhɔd
abhorrence	ɐbhɒɹəns
abhorrent	ɐbhɒɹənt
abhorring	ɐbhɔɹɪŋ
abhors	ɐbhɔz
abide	ɐbaɪd
abided	ɐbaɪdɪd
abides	ɐbaɪdz
abiding	ɐbaɪdɪŋ
abies	ɐbaɪz
abigail	æbɪɡeɪl
abilities	ɐbɪlətiz
ability	ɐbɪləti
abjure	ɐbdʒjɔ
ablation	ɐbleɪtiən
ablaze	ɐbleɪz
abler	eɪblɐ
ablest	eɪbləst
ablution	ɐbluʃən
ablutions	ɐbluʃənz
ably	eɪbli
abnegate	æbnɪɡeɪt
abnegation	æbnɪɡeɪʃən
abnormal	ɐbnɔməl
abnormalities	ɐbnɔmælɪtiz
abnormality	ɐbnɔmælɪti
abnormally	ɐbnɔməli
